Name,Description,Latitude,Longitude,Category,Address,Website,Cuisine
Chuan Chia Congee,"[Selected Restaurants] Small eats | $
The menu, like the room, has a retro feel to it. Popular picks include various cuts of milkfish – shipped daily from the port to ensure freshness – cooked in congee or stock. Try the braised milkfish ",22.9969677,120.1761045,Selected,"410 Qingping Road, Anping District, Tainan, Taiwan",https://guide.michelin.com/en/tainan-region/tainan/restaurant/chuan-chia-congee,Small eats
Dasuke,"[Selected Restaurants] Japanese, Contemporary | $$$
The chef, who hails from Niigata, Japan, reinterprets flavours from his home prefecture using first-rate local ingredients, such as root vegetables in a flavourful stew known as noppe. À la carte is a",25.0257123,121.5479511,Selected,"375-2 Siwei Road, Da'an District, Taipei, 106, Taiwan",https://tw.sakemaru.me/pages/dasuke,"Japanese, Contemporary"
fumée,"[Selected Restaurants] Yakitori | $$$
The sister restaurant of the Osakan yakitori institution Ichimatsu sports a dark colour scheme, reminiscent of an opera house. The young Japanese chef sources local poultry such as Hsinchu free-range ",25.05407,121.52506,Selected,"B3, Regent Hotel, 3, Lane 39, Section 2, Zhongshan North Road, Zhongshan District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/fumee,Yakitori
J Parc,"[Selected Restaurants] Creative | $$$
After formal training in the US, the chef-owner launched J Parc in 2023. His 10-course prix-fixe aligns with the seasons, presenting audacious creations that celebrate local vegetables and Japanese se",22.6466668,120.2905605,Selected,"1 Dexing Street, Sanmin District, Kaohsiung, 80751, Taiwan",https://guide.michelin.com/en/kaohsiung-region/kaohsiung/restaurant/j-parc,Creative
Yung Yen,"[Bib Gourmand] Taiwanese | $$
Formerly known as Yun Lai Fang, this place was renamed and relocated to this address in 2024. The light-drenched room over two levels has wooden furnishings that impart a home-like feel. Regulars will",22.6330384,120.2904561,Bib Gourmand,"528 Chenggong 1st Road, Cianjin District, Kaohsiung, Taiwan",https://guide.michelin.com/en/kaohsiung-region/kaohsiung/restaurant/yung-yen,Taiwanese
Su Lai Chuan,"[Bib Gourmand] Small eats | $
Famous for ba-wan and taro cake, this institution celebrated its 70th anniversary with a facelift in 2024. The third-generation owner still makes ba-wan like his grandparents did – freshly ground rice",25.0350132,121.497697,Bib Gourmand,"4, Lane 176, Section 3, Heping West Road, Wanhua District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/su-lai-chuan,Small eats
Sushi Kaori,"[Selected Restaurants] Sushi | $$$$
Tucked away in an alley, this omakase sushi-ya sports a low-key façade that gives way to a wood-rich interior with an itamae counter, in keeping with the cuisine. Chef Lai, a veteran of Japanese cuisi",25.0611862,121.5261635,Selected,"10, Lane 458, Linsen North Road, Zhongshan District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/sushi-kaori,Sushi
Tableau by Craig Yang,"[Bib Gourmand] Creative | $$
Chef Craig Yang was born into a family of restaurateurs with decades of experience in the field of traditional Taiwanese banquets. He puts a new spin on these classics, using French techniques honed i",25.0351284,121.5503502,Bib Gourmand,"33, Lane 78, Section 1, Anhe Road, Da'an District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/tableau-by-craig-yang,Creative
FUKAI,"[Selected Restaurants] Modern Cuisine | $$$
Fukai means ‘deep’ in Japanese. The room aptly sports a backdrop of rich textures and dark hues and seeks to offer a global experience by way of uniquely local flavours (such as pickled watermelon, sa",22.9889104,120.23049,Selected,"2, Lane 512, Dungning Road, East District, Tainan, Taiwan",https://guide.michelin.com/en/tainan-region/tainan/restaurant/fukai,Modern Cuisine
Li.nu,"[Selected Restaurants] Creative | $$$$
Both the room and the food reflect the pared-down ethos at the core of Kei Kurusu’s culinary philosophy. Under the gourmet visionary’s supervision, the chef precisely crafts local ingredients (mostly ",22.6061256,120.3051595,Selected,"802, Zhonghua 5th Road, Cianjhen District, Kaohsiung, Taiwan",https://guide.michelin.com/en/kaohsiung-region/kaohsiung/restaurant/li-nu,Creative
PEI FULL,"[Selected Restaurants] Jiangzhe | $$
After a recent refurbishment, this restaurant in a long-standing hotel now boasts a bold red-and-green colour scheme. With 40+ years of experience under his belt, the chef puts a creative spin on Jian",25.0421659,121.557317,Selected,"2F, United Hotel, 200 Guangfu South Road, Da’an District, Taipei, Taiwan",https://www.unitedhotel.com.tw/dining/page/1,Jiangzhe
Le Palais,"[3 Stars] Cantonese | $$$
This venue sports a dark colour scheme, with an eclectic mix of Chinese garden motifs and European palatial glamour. The Hong Kong chef excels in refined Cantonese fare that showcases his high-flying ",25.0491625,121.5168892,Michelin 3 Stars,"17F, Palais de Chine Hotel, 3, Section 1, Chengde Road, Datong District, Taipei, 103, Taiwan",https://www.palaisdechinehotel.com/pdc-en/pages/26/0/66,Cantonese
JL STUDIO,"[3 Stars] Singaporean, Contemporary | $$$$
(The restaurant is temporarily closed.) JL is Jimmy Lim, a Singaporean chef who honed his skills in world-famous kitchens. His single evening set menu pays tribute to his heritage and experience with ",24.1504863,120.6285199,Michelin 3 Stars,"2F, 689, Section 4, Yifeng Road, Nantun District, Taichung, 408, Taiwan",https://jlstudiotw.com,"Singaporean, Contemporary"
Taïrroir,"[3 Stars] Taiwanese contemporary | $$$$
A portmanteau of Taiwan and terroir, Taïrroir is Chef Kai's love letter to his home island. Informed by his two decades of experience in Taiwanese and French cuisines, the menu captures local food cul",25.082896,121.559303,Michelin 3 Stars,"6F, 299 Lequn 3rd Road, Zhongshan District, Taipei, 104, Taiwan",https://www.tairroir.com/,Taiwanese contemporary
Rong Ju,"[Selected Restaurants] Cantonese | $$$$
The atrium’s tray ceiling covered in faux red brick evokes the cosiness of a traditional home. The Hong Kong chef boasts a career in Cantonese cooking spanning some three decades, hence his solid skil",25.05364,121.549228,Selected,"Capella, 139 Dunhua North Road, Songshan District, Taipei, 105021, Taiwan",https://capellahotels.com/capella-taipei/dining/rong-ju,Cantonese
Jhen Pin,"[Bib Gourmand] Small eats | $
A returnee launched a second career over 10 years ago by opening this no-frills joint that specialises in duck dishes. Perseverance and eagerness to learn helped the shop establish a presence on the f",25.0429405,121.4489115,Bib Gourmand,"97, Section 1, Fuxing Road, Xinzhuang District, New Taipei, Taiwan",https://guide.michelin.com/en/northern-taiwan/new-taipei-city_2853082/restaurant/jhen-pin,Small eats
Very Good Vegan Gua Bao,"[Selected Restaurants] Small eats, Vegan | $
A descendant of a century-old Chinese herbal shop, the owner came up with a plant-based gua bao recipe for his vegan wife. The fluffy bun is stuffed with assorted herbs, veggies and mushrooms. Rather ",24.8003515,120.9659637,Selected,"129 Linsen Road, East District, Hsinchu City, Taiwan",https://guide.michelin.com/en/northern-taiwan/hsinchu-city_2853126/restaurant/very-good-vegan-gua-bao,"Small eats, Vegan"
Eika,"[2 Stars] Japanese Contemporary | $$$$
With an understated façade, this place feels like a hidden gem for those in the know. The tearoom-like lobby leads into a minimalist dining room where a brightly lit open kitchen takes centre stage. T",25.0574848,121.5105147,Michelin 2 Stars,"58 Minle Street, Datong District, Taipei, Taiwan",https://eika.tw,Japanese Contemporary
A,"[2 Stars] French Contemporary | $$$$
A floral display provides pops of colour in this pristine white cube that calls to mind an art gallery. Chef Alain Huang's tasting menus comprise 10-plus creative courses that are French in origin but",25.0414321,121.5426954,Michelin 2 Stars,"4F, Building 2, Diamond Towers, Shin Kong Mitsukoshi, 282, Section 3, Zhongxiao East Road, Da'an District, Taipei, 106, Taiwan",https://restaurant-a.com/,French Contemporary
Yu Kapo,"[2 Stars] Japanese | $$$$
The room sports a minimalist edge courtesy of light wood and slate grey hues. Chef Masa Chung deploys his deft craftsmanship and savvy skills, drawing on a 20-year career in Japanese cooking. He serve",25.0539984,121.5636541,Michelin 2 Stars,"9-1 Sanmin Road, Songshan District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/yu-kapo-1198592,Japanese
logy,"[2 Stars] Asian Contemporary | $$$$
logy, a sibling of the Florilège in Tokyo, moved to this location in 2025, whose handsome room is generously furnished in walnut wood. The over 10 courses omakase menu presents thrilling moments of cr",25.0749106,121.5748182,Michelin 2 Stars,"39, Lane 258, Ruiguang Road, Neihu District, Taipei, Taiwan",https://logy.tw,Asian Contemporary
Mudan,"[2 Stars] Japanese Tempura | $$$$
When it comes to tempura, precision is the name of the game. With decades of experience in Japanese cooking, the head chef brings out the best in every ingredient with his keen sense for oil blend, oi",25.0351348,121.547105,Michelin 2 Stars,"17, Lane 52, Siwei Road, Da'an District, Taipei, 106, Taiwan",https://mudantempura.com,Japanese Tempura
L'Atelier de Joël Robuchon,"[2 Stars] French Contemporary | $$$$
One of the 20-odd restaurants bearing the late master chef’s name, this tailored venue is instantly recognisable by its iconic red-and-black colour scheme dotted with white orchids. In addition to an ",25.039609,121.56814,Michelin 2 Stars,"5F, Bellavita, 28 Songren Road, Xinyi District, Taipei, 110, Taiwan",https://www.bellavita.com.tw/dining/Latelierdejoelrobuchontaipei.php,French Contemporary
Molino de Urdániz,"[2 Stars] Spanish Contemporary | $$$$
Spanish-themed paintings hang in the dining area, which boasts a stunning glazed wine cellar. The two chefs take diners on a poetic culinary journey to the Pyrenees of the Basque Country with a seafoo",25.0507432,121.5372068,Michelin 2 Stars,"GF, Hotel MVSA, 61, Section 1, Jianguo North Road, Zhongshan District, Taipei, 10491, Taiwan",https://hotelmvsa.com/en/dining/molino-de-urdaniz,Spanish Contemporary
Ya Ge,"[1 Star] Cantonese | $$$$
A corridor dotted with Chinese antiques leads to a classically appointed square dining room, in keeping with the style of its luxury host hotel. The menu is also rooted in tradition, and the Hong Kong",25.055801,121.548349,Michelin 1 Star,"3F, Mandarin Oriental Hotel, 158 Dunhua North Road, Songshan District, Taipei, 105, Taiwan",https://www.mandarinoriental.com/en/taipei/songshan/dine/ya-ge,Cantonese
Circum-,"[1 Star] Creative | $$$
The Latin ""circum-"" is related to ""circle"", a symbol of wholeness and unity in Chinese culture. The young kitchen team traces the footsteps of Chinese emigrants throughout history, exploring how their",24.98707,121.42931,Michelin 1 Star,"B2, Regent Hotel, 3, Lane 39, Section 2, Zhongshan North Road, Zhongshan District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/circum,Creative
T+T,"[1 Star] Asian Contemporary | $$$
The modern and simple design of T+T exudes relaxed chic, à la French bistronomy. The name is an abbreviation of ‘tapas tasting’, but rather than Spanish in origin, the small plates show strong Asian r",25.054864,121.550721,Michelin 1 Star,"11, Lane 165, Dunhua North Road, Songshan District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/t-t,Asian Contemporary
The Guest House,"[1 Star] Huaiyang, Sichuan | $$$
Formerly a members-only dining club, it excites not by its decor, but by shrewdly executed Huaiyang and Sichuan classics, alongside Taiwanese favourites. The veteran head chef cuts back on oil and sal",25.0446816,121.5220238,Michelin 1 Star,"17F, Sheraton Grand Hotel, 12, Section 1, Zhongxiao East Road, Zhongzheng District, Taipei, 100, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/the-guest-house,"Huaiyang, Sichuan"
YUENJI,"[1 Star] Taiwanese | $$$$
The swanky setting seamlessly melds East-meets-West eclecticism with modern elegance. The chef team revisits Taiwan’s food heritage and culture, adding a sophisticated spin to family favourites. The T",24.1743625,120.6236048,Michelin 1 Star,"5 Anhe East Road, Xitun District, Taichung, 407022, Taiwan",https://yuen-ji.com/,Taiwanese
L'Atelier par Yao,"[1 Star] French Contemporary | $$$
Concrete walls, dark green drapes, wooden furniture and local handmade pottery work nicely together in this elegant room that spans two floors. The young chef, who honed his skills in France, excels i",24.1528622,120.7051419,Michelin 1 Star,"2F, 68 Xinfu 16th Street, Taiping District, Taichung, 411, Taiwan",https://www.twlatelier.com,French Contemporary
NOBUO,"[1 Star] Contemporary | $$$$
With a Japanese façade and a Scandinavian-inspired interior, NOBUO is all about breaking boundaries. Born in Taiwan and raised in Japan, the head chef revisits his cultural roots, marrying Franco-Japa",25.0400402,121.5278581,Michelin 1 Star,"8 Tai'an Street, Zhongzheng District, Taipei, Taiwan",https://Nobuo.tw,Contemporary
Sur-,"[1 Star] Taiwanese contemporary | $$$
Sur- moved to Central district in 2023 and now occupies the third floor of a quaint building. The minimalist room dotted with wooden furniture and vintage couches sports dark colours. The owner-chef e",24.1379723,120.6836711,Michelin 1 Star,"3F, 29 Zhongshan Road, Central District, Taichung, 400, Taiwan",https://surcuisine.com,Taiwanese contemporary
Impromptu by Paul Lee,"[1 Star] Innovative | $$$$
Chef Paul Lee leads a talented young kitchen team in presenting a tasting menu that elevates Taiwanese street food to the level of haute cuisine. Asian and European flavours mingle harmoniously in ref",25.054178,121.524244,Michelin 1 Star,"B1, Regent Hotel, 3, Lane 39, Section 2, Zhongshan North Road, Zhongshan District, Taipei, 104, Taiwan",http://www.impromptu.com.tw,Innovative
Mountain and Sea House,"[1 Star] Taiwanese | $$$
Complete with a courtyard and a high-ceilinged foyer, the interior of this luxurious mansion oozes 1930’s glamour. The menu adds a new twist to elaborate recipes available only to the elite back in th",25.0380165,121.5313736,Michelin 1 Star,"94, Section 2, Ren'ai Road, Zhongzheng District, Taipei, 100, Taiwan",https://www.mountain-n-seahouse.com/en,Taiwanese
Oretachi No Nikuya,"[1 Star] Barbecue | $$$
This paradise for beef lovers is just the ticket for discerning connoisseurs. The young owner-chef knows his cattle inside out and sources prize-winning breeds from all over Japan, including Akage Wag",24.1509806,120.6564165,Michelin 1 Star,"194-1 Gongyi Road, West District, Taichung, 403, Taiwan",https://guide.michelin.com/en/taichung-region/taichung/restaurant/oretachi-no-nikuya-1195583,Barbecue
Golden Formosa,"[1 Star] Taiwanese | $$
In the 1950s, the family started serving boldly seasoned food to go with alcoholic drinks. The third-generation owner still follows the same family recipes from those days. Their signature deep-fried ",25.118368,121.536248,Michelin 1 Star,"101 Tianmu East Road, Shilin District, Taipei, 111, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/golden-formosa,Taiwanese
FRASSI,"[1 Star] Italian Contemporary | $$$$
Chef Frassi has styled his restaurant to remind diners of his Tuscan roots. It is only open in the evenings, serving one tasting menu that rolls out some seven courses of creative, contemporary Italia",25.0828482,121.5591578,Michelin 1 Star,"1F, 299 Lequn 3rd Road, Zhongshan District, Taipei, 203, Taiwan",https://www.frassi.com.tw,Italian Contemporary
A Cut,"[1 Star] Steakhouse | $$$$
Diners are escorted past the open kitchen into an airy room bathed in natural light, perfect for power lunches or social gatherings. For a surcharge, all the à la carte steaks can be made into a set. ",25.0530031,121.5427565,Michelin 1 Star,"2F, Fubon Liaoning Building, 177 Liaoning Street, Zhongshan District, Taipei, 104105, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/a-cut,Steakhouse
La Vie by Thomas Bühner,"[1 Star] European Contemporary | $$$$
In a palette of muted greens and greys, the lofty space is a masterclass in understated elegance. La Vie is managed by German chef Bühner and a Hong Kong chef presides in the kitchen. The prix-fixe re",25.08254,121.55429,Michelin 1 Star,"1F, Noke Mall, 200 Lequn 3rd Road, Zhongshan District, Taipei, Taiwan",https://www.laviebythomasbuehner.com/en,European Contemporary
Sho,"[1 Star] Japanese | $$$
Opened in 2020, this is the first outpost of Tokyo's famed restaurant Den outside of Japan. Exploring the vast repertoire of Taiwanese produce with traditional Japanese techniques, Sho serves a single",22.6060838,120.3054316,Michelin 1 Star,"2F, 806 Zhonghua 5th Road, Cianjhen District, Kaohsiung, Taiwan",https://www.sho.com.tw,Japanese
Wok by O'BOND,"[1 Star] Creative | $$$
Dark green velvet, red walls and accent lights showcase the bare concrete walls in this chic space. A sister establishment of Tei by O'bond, famous for Taiwanese tea cocktails, Wok excels in deconstru",25.0479656,121.5402246,Michelin 1 Star,"18 Long Jiang Road, Zhongshan District, Taipei, 104099, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/wok-by-o-bond,Creative
Mipon,"[1 Star] Taiwanese | $$$
The former head chef has been promoted to executive chef and the kitchen is now helmed by his long-standing protégé. Rest assured that the menu has not changed and is as meticulously crafted as ever. ",25.080373,121.553699,Michelin 1 Star,"3F, Grand Mayfull Hotel, 55 Lequn 2nd Road, Zhongshan District, Taipei, 10462, Taiwan",https://www.grandmayfull.com/,Taiwanese
GEN,"[1 Star] Cantonese | $$$$
The lofty room is a soothing patchwork of camel and neutral shades set off by gun metal grey. Besides sitting at the arc-shaped counter or round tables, you can also book a room for more privacy. The ",22.6042,120.29872,Michelin 1 Star,"8 Fusing 4th Road, Cianjhen District, Kaohsiung, Taiwan",https://www.gentaiwan.com,Cantonese
Fleur de Sel,"[1 Star] French Contemporary | $$$$
The chef worked in France and Italy for 30 years before opening her restaurant in 2003, relocating to this elegant space in 2017. She uses mostly local ingredients in seven- to nine-course prix fixe m",24.160425,120.634515,Michelin 1 Star,"581-1 Shizheng Road, Xitun District, Taichung, 407, Taiwan",https://www.fleur-de-sel.com.tw,French Contemporary
Sushi Akira,"[1 Star] Sushi | $$$$
This long-standing favourite appeals to locals with Edomae sushi made with Hokkaido rice dressed in veteran chef’s own blend of red vinegars, and the finest fish that he ages himself. The tuna stands ",25.06614,121.52486,Michelin 1 Star,"6-3, Lane 25, Shuangcheng Street, Zhongshan District, Taipei, 104, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/sushi-akira,Sushi
Fujin Tree Taiwanese Cuisine & Champagne (Songshan),"[1 Star] Taiwanese | $$
Tainan cuisine is known for its sugary taste profile; the Tainanese founder thinks outside the box to reinterpret the cooking of his hometown. The end product always goes well with champagne. The menu",25.0565712,121.5528189,Michelin 1 Star,"17, Lane 199, Dunhua North Road, Songshan District, Taipei, Taiwan",https://www.fujintreeshop.com/,Taiwanese
Sushiyoshi,"[1 Star] Japanese | $$$$
Well versed in the culinary arts of Japan and France, founder Hiroki Nakanoue devises omakase menus that meld Edomae sushi traditions and incorporate some Western ingredients like caviar. The kitchen ",25.0402806,121.5537337,Michelin 1 Star,"12, Alley 19, Lane 216, Section 4, Zhongxiao East Road, Da'an District, Taipei, 106, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/sushiyoshi,Japanese
Kitcho,"[1 Star] Sushi | $$$$
The interior follows Japanese tradition with pale wood, warm lighting and fabric-wrapped panels. Niigata rice is seasoned with three vinegars, including akazu that gives depth and umami. The owner als",25.0442868,121.5506888,Michelin 1 Star,"48, Lane 181, Section 4, Zhongxiao East Road, Da'an District, Taipei, 106, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/kitcho,Sushi
